image_dir,description,text
data\output\divide_images_train\Capitulo 10\Comic10_001\panel_1.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_001\panel_2.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_001\panel_4.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_002\panel_1.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_002\panel_2.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_002\panel_3.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_003\panel_1.jpg,,¿TODO BIEN?
data\output\divide_images_train\Capitulo 10\Comic10_003\panel_2.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_004\panel_1.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_004\panel_2.jpg,,"¿CÓMO LO HACES? UN ELFO HA MUERTO POR NUESTRA CULPA,Y SU MUERTE NO PARECE HABERTE AFECTADO"
data\output\divide_images_train\Capitulo 10\Comic10_005\panel_1.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_005\panel_2.jpg,,"Y NO LO HA HECHO,¿RECUERDAS TU PRIMER BESO?¿Y EL SEGUNDO?"
data\output\divide_images_train\Capitulo 10\Comic10_005\panel_3.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_006\panel_1.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_006\panel_2.jpg,,"HE MATADO A MUCHOS.HE PARTICIPADO EN BATALLAS Y MIS MANOS ESTÁN MANCHADAS DE SANGRE. LO QUE LE OCURRIÓ AL ELFO NO ES CULPA NUESTRA, Y EN EL FONDO LO SABES"
data\output\divide_images_train\Capitulo 10\Comic10_007\panel_1.jpg,,LA PRIMERA VEZ QUE MATES DE VERDAD LO RECORDARAS POR SIEMPRE. ES UN PRIMER BESO MUY AMARGO
data\output\divide_images_train\Capitulo 10\Comic10_008\panel_1.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_008\panel_2.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_008\panel_3.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_009\panel_1.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_009\panel_2.jpg,,PLOP
data\output\divide_images_train\Capitulo 10\Comic10_010\panel_1.jpg,,MIRA
data\output\divide_images_train\Capitulo 10\Comic10_010\panel_2.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_010\panel_3.jpg,,¿TAN DIFÍCIL TE PARECE EL EXAMEN DE TRANSMUTACIÓN? EEEK!
data\output\divide_images_train\Capitulo 10\Comic10_010\panel_4.jpg,,¡LEAH! QUÉ SUSTO ME HAS DADO...
data\output\divide_images_train\Capitulo 10\Comic10_011\panel_1.jpg,,QUIERO DESTACAR EN EL EXAMEN. SE RUMOREA QUE EL QUE TENGA UN BUEN RESULTADO TENDRÁ PERMISOS PARA UNA INVESTIGACIÓN
data\output\divide_images_train\Capitulo 10\Comic10_011\panel_2.jpg,,"AAAH, SI ESE RUMOR YA LO HE OÍDO YA"
data\output\divide_images_train\Capitulo 10\Comic10_011\panel_3.jpg,,¿Y NO TE IMPORTA QUE SI TE DESTACAS Y TE LLEVAN A LA INVESTIGACIÓN ME DEJARÁS SOLA CON LA PANDA DE IMBÉCILES DE CLASE?
data\output\divide_images_train\Capitulo 10\Comic10_011\panel_4.jpg,,EEK!
data\output\divide_images_train\Capitulo 10\Comic10_012\panel_1.jpg,,TÚ NO ERES EL PROBLEMA. NO TE MOLESTARÁN. SABES PERFECTAMENTE QUE NO ME SOPORTAN
data\output\divide_images_train\Capitulo 10\Comic10_012\panel_2.jpg,,"YO TAMPOCO LO HAGO, PERO TIENES LOS APUNTES MÁS ORDENADOS DE TODOS. ALGO TENDRÉ QUE SACRIFICAR ¿NO?"
data\output\divide_images_train\Capitulo 10\Comic10_012\panel_3.jpg,,¡AY! QUÉ CRUEL
data\output\divide_images_train\Capitulo 10\Comic10_012\panel_4.jpg,,JAJAJAJA
data\output\divide_images_train\Capitulo 10\Comic10_012\panel_5.jpg,,"!VALE! POR CIERTO, TIENES LA MANO MANCHADA DE TINTA"
data\output\divide_images_train\Capitulo 10\Comic10_013\panel_1.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_014\panel_1.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_014\panel_2.jpg,,¡¡YO NO QUERÍA!!
data\output\divide_images_train\Capitulo 10\Comic10_015\panel_1.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_015\panel_2.jpg,,
data\output\divide_images_train\Capitulo 10\Comic10_015\panel_3.jpg,,"CIERTO, ES UN BESO MUY AMARGO"
data\output\divide_images_train\Capitulo 10\Comic10_015\panel_4.jpg,,
