image_dir,description,text
data\output\divide_images_train\Capitulo 12\Comic12_001\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_001\panel_2.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_001\panel_3.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_002\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_002\panel_2.jpg,,TE ESPERABA
data\output\divide_images_train\Capitulo 12\Comic12_002\panel_3.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_002\panel_4.jpg,,¿HAS SIDO TÚ?
data\output\divide_images_train\Capitulo 12\Comic12_003\panel_1.jpg,,NO TODOS...
data\output\divide_images_train\Capitulo 12\Comic12_003\panel_2.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_003\panel_3.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_004\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_004\panel_2.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_004\panel_3.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_005\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_005\panel_2.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_005\panel_3.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_006\panel_1.jpg,,CRACK
data\output\divide_images_train\Capitulo 12\Comic12_006\panel_2.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_006\panel_3.jpg,,APARTA NIÑO
data\output\divide_images_train\Capitulo 12\Comic12_007\panel_1.jpg,,AAAAAAAAAAAAAA!!!
data\output\divide_images_train\Capitulo 12\Comic12_007\panel_2.jpg,,EDREI!!!
data\output\divide_images_train\Capitulo 12\Comic12_008\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_008\panel_2.jpg,,¡ME LAS PAGARÁS!
data\output\divide_images_train\Capitulo 12\Comic12_008\panel_3.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_009\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_009\panel_2.jpg,,CRACK!!
data\output\divide_images_train\Capitulo 12\Comic12_009\panel_3.jpg,,SOLO ERES FUERZA BRUTA
data\output\divide_images_train\Capitulo 12\Comic12_010\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_010\panel_2.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_011\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_011\panel_2.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_011\panel_3.jpg,,
data\output\divide_images_train\Capitulo 12\Comic12_012\panel_1.jpg,,¿ME TOMARÁS EN SERIO AHORA MUCHACHA?
data\output\divide_images_train\Capitulo 12\Comic12_012\panel_2.jpg,,CAPÍTULO II : FIN
